Корейская Народно-Демократическая Республика;Корейская Народно-Демократическая Республика,Северная Корея,КНДР;
Марокко;Марокко;
Исландия;Исландия;
Латвия;Латвия;
Италия;Италия;
Доминика;Доминика;
Сан-Марино;Сан-Марино;
Сальвадор;Сальвадор;
Сан-Томе и Принсипи;Сан-Томе и Принсипи;
Коста-Рика;Коста-Рика;
Йемен;Йемен;
Доминиканская Республика;Доминиканская Республика,Доминикана;
Чили;Чили;
Босния и Герцеговина;Босния и Герцеговина;
Антигуа и Барбуда;Антигуа и Барбуда;
Гренада;Гренада;
Республика Корея;Республика Корея,Корея,Южная Корея;
Сингапур;Сингапур;
Македония;Македония;
Болгария;Болгария;
Швеция;Швеция;
Фиджи;Фиджи;
Боливия;Боливия;
Абхазия;Абхазия;
Эстония;Эстония;
Узбекистан;Узбекистан;
Грузия;Грузия;
Иран;Иран;
Гондурас;Гондурас;
Албания;Албания;
Япония;Япония;
Ливия;Ливия;
Тунис;Тунис;
Бутан;Бутан;
Буркина-Фасо;Буркина-Фасо;
Монголия;Монголия;
Сьерра-Леоне;Сьерра-Леоне;
Тувалу;Тувалу;
Вьетнам;Вьетнам;
Зимбабве;Зимбабве;
Судан;Судан;
Финляндия;Финляндия;
Соломоновы Острова;Соломоновы Острова;
Южная Осетия;Южная Осетия;
Шри-Ланка;Шри-Ланка,Шри Ланка;
Кувейт;Кувейт;
Саудовская Аравия;Саудовская Аравия;
Кирибати;Кирибати;
Кот-дИвуар;Кот-дИвуар,Кот дИвуар,Кот-д'Ивуар,Кот д'Ивуар;
Камерун;Камерун;
Кыргызстан;Кыргызстан;
Гонконг;Гонконг;
Кука острова;Острова Кука,острова Кука,Кука о-ва,о-ва Кука;
Науру;Науру, Республика Науру;
Аруба;Аруба;
